date,scenario_code,scenario_name,driver_rank,signal_name,signal_label,metric_type,driver_effect,contribution,raw_value,normalized_value,aligned_value,unit_score
2022-01-21,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.1,-0.057155,-3.642171,3.642171,1.0
2022-01-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.15,0.071939,2.47414,2.47414,1.0
2022-01-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,vix_level_z,VIX level,level_z,supporting,0.15,29.9,3.634867,3.634867,1.0
2022-01-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.1,-0.053538,-3.278406,3.278406,1.0
2022-01-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.15,0.080344,2.635121,2.635121,1.0
2022-01-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,vix_level_z,VIX level,level_z,supporting,0.15,31.16,3.881369,3.881369,1.0
2022-01-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.1,-0.048237,-2.864495,2.864495,1.0
2022-01-26,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.15,0.068638,2.266618,2.266618,1.0
2022-01-26,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,vix_level_z,VIX level,level_z,supporting,0.15,31.959999,3.946293,3.946293,1.0
2022-01-26,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.1,-0.040664,-2.366671,2.366671,1.0
2022-01-27,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,30.49,3.340942,3.340942,1.0
2022-01-27,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.139353,0.054274,1.858041,1.858041,0.96451
2022-01-27,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.099758,-0.034717,-1.995155,1.995155,0.998789
2022-01-28,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,27.66,2.435017,2.435017,1.0
2022-01-28,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.102549,0.035775,1.367321,1.367321,0.84183
2022-01-28,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,gld_ret_5d,GLD 5d return,ret_z,offsetting,-0.092059,-0.023321,-1.227448,-1.227448,0.193138
2022-01-31,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.120489,24.83,1.606515,1.606515,0.901629
2022-01-31,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,gld_ret_5d,GLD 5d return,ret_z,offsetting,-0.089641,-0.022903,-1.195214,-1.195214,0.201196
2022-01-31,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.083838,0.026305,1.117833,1.117833,0.779458
2022-02-01,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,spy_ret_5d,SPY 5d return,ret_z,offsetting,-0.1,0.042535,2.210544,-2.210544,0.0
2022-02-01,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,gld_ret_5d,GLD 5d return,ret_z,offsetting,-0.098484,-0.025206,-1.313126,-1.313126,0.171719
2022-02-01,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.081835,0.025565,1.09113,1.09113,0.772782
2022-02-02,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,spy_ret_5d,SPY 5d return,ret_z,offsetting,-0.1,0.05531,2.857221,-2.857221,0.0
2022-02-02,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,vix_level_z,VIX level,level_z,supporting,0.062568,22.09,0.834245,0.834245,0.708561
2022-02-02,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,dbc_ret_20d,DBC 20d return,ret_z,supporting,0.052334,0.070583,1.046683,1.046683,0.761671
2022-02-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.108868,24.35,1.451575,1.451575,0.862894
2022-02-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,spy_ret_5d,SPY 5d return,ret_z,offsetting,-0.087408,0.035618,1.748168,-1.748168,0.062958
2022-02-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,dbc_ret_20d,DBC 20d return,ret_z,supporting,0.059127,0.077545,1.182545,1.182545,0.795636
2022-02-04,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,uso_ret_5d,USO 5d return,ret_z,supporting,0.091091,0.047442,0.910914,0.910914,0.727729
2022-02-04,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,vix_level_z,VIX level,level_z,supporting,0.084678,23.219999,1.12904,1.12904,0.78226
2022-02-04,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,usdkrw_ret_20d,USD/KRW 20d return,ret_z,offsetting,-0.061744,-0.00452,-1.234877,-1.234877,0.191281
2022-02-07,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.076738,22.860001,1.023172,1.023172,0.755793
2022-02-07,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,uso_ret_5d,USO 5d return,ret_z,supporting,0.060975,0.035211,0.60975,0.60975,0.652438
2022-02-07,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,dbc_ret_20d,DBC 20d return,ret_z,supporting,0.057896,0.077213,1.157926,1.157926,0.789481
2022-02-08,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,gld_ret_5d,GLD 5d return,ret_z,supporting,0.064526,0.014266,0.860349,0.860349,0.715087
2022-02-08,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.053851,0.011255,0.718009,0.718009,0.679502
2022-02-08,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,dbc_ret_20d,DBC 20d return,ret_z,supporting,0.052481,0.07234,1.04962,1.04962,0.762405
2022-02-09,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,gld_ret_5d,GLD 5d return,ret_z,supporting,0.063251,0.014037,0.843346,0.843346,0.710837
2022-02-09,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.049274,0.00897,0.656984,0.656984,0.664246
2022-02-09,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,dbc_ret_20d,DBC 20d return,ret_z,supporting,0.042187,0.062616,0.843731,0.843731,0.710933
2022-02-10,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.097934,23.91,1.305788,1.305788,0.826447
2022-02-10,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.069845,0.01995,0.931271,0.931271,0.732818
2022-02-10,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,gld_ret_5d,GLD 5d return,ret_z,supporting,0.05292,0.011625,0.705604,0.705604,0.676401
2022-02-11,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,27.360001,2.243118,2.243118,1.0
2022-02-11,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,gld_ret_5d,GLD 5d return,ret_z,supporting,0.126292,0.029314,1.683891,1.683891,0.920973
2022-02-11,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,supporting,0.075899,0.02336,1.011992,1.011992,0.752998
2022-02-14,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,28.33,2.469695,2.469695,1.0
2022-02-14,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,gld_ret_5d,GLD 5d return,ret_z,supporting,0.116249,0.027218,1.549985,1.549985,0.887496
2022-02-14,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.054946,-0.018423,-1.098929,1.098929,0.774732
2022-02-15,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.128862,25.700001,1.718153,1.718153,0.929538
2022-02-15,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,gld_ret_5d,GLD 5d return,ret_z,supporting,0.062121,0.014359,0.828286,0.828286,0.707071
2022-02-15,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.034317,-0.010733,-0.686337,0.686337,0.671584
2022-02-16,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.099311,24.290001,1.324147,1.324147,0.831037
2022-02-16,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,gld_ret_5d,GLD 5d return,ret_z,supporting,0.09055,0.021319,1.207338,1.207338,0.801835
2022-02-16,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.068993,-0.023911,-1.379866,1.379866,0.844966
2022-02-17,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,gld_ret_5d,GLD 5d return,ret_z,supporting,0.15,0.039224,2.182996,2.182996,1.0
2022-02-17,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,vix_level_z,VIX level,level_z,supporting,0.15,28.110001,2.329807,2.329807,1.0
2022-02-17,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,3,spy_ret_5d,SPY 5d return,ret_z,supporting,0.077332,-0.027286,-1.546642,1.546642,0.886661
2022-02-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,1,vix_level_z,VIX level,level_z,supporting,0.15,27.75,2.195423,2.195423,1.0
2022-02-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,2,gld_ret_5d,GLD 5d return,ret_z,supporting,0.078826,0.019044,1.051013,1.051013,0.762753
