ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
055550.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.386266,medium,0.386266,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.386266
055550.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.0054,high,-0.0054,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,credit_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.0054
066570.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.027962,low,0.027962,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=0.027962
066570.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.025808,low,0.025808,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.025808
066570.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,positive,0.10907,low,0.10907,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=0.10907
066570.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.509735,medium,0.509735,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.509735
066570.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.006836,high,-0.006836,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.006836
068270.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,negative,0.135424,low,-0.135424,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.135424
068270.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,negative,0.159092,low,-0.159092,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=-0.159092
068270.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.123428,low,-0.123428,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=-0.123428
