ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
017670.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,positive,0.111717,low,0.111717,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=0.111717
017670.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.448865,medium,0.448865,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,defensive_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.448865
017670.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.001759,medium,-0.001759,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,defensive_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.001759
032830.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.023608,low,-0.023608,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.023608
032830.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.134675,low,0.134675,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=0.134675
032830.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.063849,low,-0.063849,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=-0.063849
032830.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.723983,high,0.723983,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.723983
032830.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004678,high,-0.004678,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.004678
034020.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.074793,low,0.074793,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=0.074793
034020.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.213334,low,0.213334,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|inflation_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.213334
