ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,calendar_status,price_integrity_status,fx_status,dq_blocking,dq_reason_codes,dq_status,status
VIG,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
VNQ,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
VTI,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
VTV,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
VUG,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
VXUS,equity_etf,GLOBAL,US_MARKET_TRADING_DAYS,3860,3863,0.0,0.790012,0.999223,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
WMT,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XBI,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XLB,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XLC,equity_etf,US,US_MARKET_TRADING_DAYS,2000,2001,0.0,0.409333,0.9995,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
XLE,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XLF,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XLI,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XLK,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XLP,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XLU,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XLV,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XLY,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XOM,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XOP,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
XRP-USD,crypto,GLOBAL,US_MARKET_TRADING_DAYS,3129,2153,0.0,1.0,1.453321,0,0,2,0,PASS,WARN,PASS,False,extreme_return_outlier_warn,WARN,WARN
XRT,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
