candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_cash_bootstrap_robust_count,target_cash_bootstrap_count,target_cash_bootstrap_min_p_improve,target_cash_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
one_to_one,XLU,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,1520237138107.1135,201699.09,0.0,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,beta/corr 감소 미달
one_to_one,EFA,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|return_drag_reference,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,2612824970247.88,160585.04,0.0,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,annual return drag soft warning,beta/corr 감소 미달
one_to_one,EWJ,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|return_drag_reference,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,963459347433.1796,144029.25,0.0,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,annual return drag soft warning,beta/corr 감소 미달
one_to_one,FXI,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|return_drag_reference,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,1605805685417.5447,217092.01,0.0,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,annual return drag soft warning,beta/corr 감소 미달
multi,261240.KS + FXE,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - FXE 1주 매수 불가
multi,261240.KS + FXF,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - FXF 1주 매수 불가
multi,BTAL + FXE,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - FXE 1주 매수 불가
multi,BTAL + FXF,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - FXF 1주 매수 불가
multi,FXE + 132030.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - FXE 1주 매수 불가
multi,FXE + 153130.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,230332.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - FXE 1주 매수 불가
