ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,calendar_status,price_integrity_status,fx_status,dq_blocking,dq_reason_codes,dq_status,status
000270.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
000660.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
000810.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
003670.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
005380.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
005490.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
005930.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
006400.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
011200.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
017670.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
032830.KS,kr_stock,KR,KRX_TRADING_DAYS,3951,4085,0.0,0.823812,0.967197,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
034020.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
035420.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,1,0,WARN,WARN,PASS,False,calendar_coverage_warn|extreme_return_outlier_warn,WARN,WARN
035720.KS,kr_stock,KR,KRX_TRADING_DAYS,4796,4961,0.0,1.0,0.966741,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
