date,scenario_code,structured_confidence,structured_coverage,event_overlay_confidence,event_count,overlay_applied,final_confidence,merge_engine_version
2021-09-20,china_trade_fragmentation_shock,6.32576,0.125,,0,N,6.32576,phase6_final_market_state_v1
2021-09-20,geopolitical_escalation_supply_shock,47.439875,0.7,,0,N,47.439875,phase6_final_market_state_v1
2021-09-20,higher_for_longer_long_rate_shock,6.072729,0.12,,0,N,6.072729,phase6_final_market_state_v1
2021-09-20,korea_domestic_financial_stress,5.060608,0.1,,0,N,5.060608,phase6_final_market_state_v1
2021-09-20,semiconductor_ai_cycle_shock,10.060608,0.15,,0,N,10.060608,phase6_final_market_state_v1
2021-09-20,soft_landing_goldilocks,6.600793,0.130435,,0,N,6.600793,phase6_final_market_state_v1
2021-09-20,usd_strength_krw_weakness,37.088277,0.478261,,0,N,37.088277,phase6_final_market_state_v1
2021-09-21,acute_global_stress_liquidity_crunch,77.176839,0.916667,,0,N,77.176839,phase6_final_market_state_v1
2021-09-21,china_trade_fragmentation_shock,48.850353,0.833333,,0,N,48.850353,phase6_final_market_state_v1
2021-09-21,geopolitical_escalation_supply_shock,68.606184,0.95,,0,N,68.606184,phase6_final_market_state_v1
2021-09-21,higher_for_longer_long_rate_shock,63.87191,1.0,,0,N,63.87191,phase6_final_market_state_v1
2021-09-21,korea_domestic_financial_stress,14.170615,0.2,,0,N,14.170615,phase6_final_market_state_v1
2021-09-21,semiconductor_ai_cycle_shock,41.233963,0.6,,0,N,41.233963,phase6_final_market_state_v1
2021-09-21,slowdown_recession_deflation_risk,15.767111,0.25,,0,N,15.767111,phase6_final_market_state_v1
2021-09-21,soft_landing_goldilocks,70.089679,0.869565,,0,N,70.089679,phase6_final_market_state_v1
2021-09-21,stagflation_reinflation_energy_shock,76.419802,1.0,,0,N,76.419802,phase6_final_market_state_v1
2021-09-21,usd_strength_krw_weakness,62.269622,0.869565,,0,N,62.269622,phase6_final_market_state_v1
2021-09-22,acute_global_stress_liquidity_crunch,71.074026,0.916667,,0,N,71.074026,phase6_final_market_state_v1
2021-09-22,china_trade_fragmentation_shock,40.247697,0.833333,,0,N,40.247697,phase6_final_market_state_v1
2021-09-22,geopolitical_escalation_supply_shock,66.368606,0.95,,0,N,66.368606,phase6_final_market_state_v1
2021-09-22,higher_for_longer_long_rate_shock,53.666262,1.0,,0,N,53.666262,phase6_final_market_state_v1
2021-09-22,korea_domestic_financial_stress,11.751566,0.2,,0,N,11.751566,phase6_final_market_state_v1
2021-09-22,semiconductor_ai_cycle_shock,51.246948,0.75,,0,N,51.246948,phase6_final_market_state_v1
2021-09-22,slowdown_recession_deflation_risk,15.013498,0.25,,0,N,15.013498,phase6_final_market_state_v1
2021-09-22,soft_landing_goldilocks,65.265061,0.869565,,0,N,65.265061,phase6_final_market_state_v1
2021-09-22,stagflation_reinflation_energy_shock,69.009815,1.0,,0,N,69.009815,phase6_final_market_state_v1
2021-09-22,usd_strength_krw_weakness,54.837028,0.869565,,0,N,54.837028,phase6_final_market_state_v1
2021-09-23,acute_global_stress_liquidity_crunch,56.750523,0.916667,,0,N,56.750523,phase6_final_market_state_v1
2021-09-23,china_trade_fragmentation_shock,49.529826,0.916667,,0,N,49.529826,phase6_final_market_state_v1
2021-09-23,geopolitical_escalation_supply_shock,59.063757,0.95,,0,N,59.063757,phase6_final_market_state_v1
2021-09-23,higher_for_longer_long_rate_shock,65.176662,1.0,,0,N,65.176662,phase6_final_market_state_v1
2021-09-23,korea_domestic_financial_stress,54.588954,0.65,,0,N,54.588954,phase6_final_market_state_v1
2021-09-23,semiconductor_ai_cycle_shock,74.296557,1.0,,0,N,74.296557,phase6_final_market_state_v1
2021-09-23,slowdown_recession_deflation_risk,16.12117,0.25,,0,N,16.12117,phase6_final_market_state_v1
2021-09-23,soft_landing_goldilocks,71.359133,0.869565,,0,N,71.359133,phase6_final_market_state_v1
2021-09-23,stagflation_reinflation_energy_shock,78.473348,1.0,,0,N,78.473348,phase6_final_market_state_v1
2021-09-23,usd_strength_krw_weakness,67.980453,0.956522,,0,N,67.980453,phase6_final_market_state_v1
2021-09-24,acute_global_stress_liquidity_crunch,48.121881,0.916667,,0,N,48.121881,phase6_final_market_state_v1
2021-09-24,china_trade_fragmentation_shock,35.46263,0.791667,,0,N,35.46263,phase6_final_market_state_v1
2021-09-24,geopolitical_escalation_supply_shock,52.663053,0.85,,0,N,52.663053,phase6_final_market_state_v1
2021-09-24,higher_for_longer_long_rate_shock,61.349255,0.88,,0,N,61.349255,phase6_final_market_state_v1
2021-09-24,korea_domestic_financial_stress,38.098106,0.55,,0,N,38.098106,phase6_final_market_state_v1
2021-09-24,semiconductor_ai_cycle_shock,57.223835,0.9,,0,N,57.223835,phase6_final_market_state_v1
2021-09-24,slowdown_recession_deflation_risk,17.434504,0.25,,0,N,17.434504,phase6_final_market_state_v1
2021-09-24,soft_landing_goldilocks,57.586631,0.73913,,0,N,57.586631,phase6_final_market_state_v1
2021-09-24,stagflation_reinflation_energy_shock,86.657223,1.0,,0,N,86.657223,phase6_final_market_state_v1
2021-09-24,usd_strength_krw_weakness,25.533109,0.478261,,0,N,25.533109,phase6_final_market_state_v1
2021-09-26,china_trade_fragmentation_shock,6.049437,0.125,,0,N,6.049437,phase6_final_market_state_v1
2021-09-26,geopolitical_escalation_supply_shock,4.83955,0.1,,0,N,4.83955,phase6_final_market_state_v1
2021-09-26,higher_for_longer_long_rate_shock,5.80746,0.12,,0,N,5.80746,phase6_final_market_state_v1
2021-09-26,korea_domestic_financial_stress,4.83955,0.1,,0,N,4.83955,phase6_final_market_state_v1
2021-09-26,semiconductor_ai_cycle_shock,4.83955,0.1,,0,N,4.83955,phase6_final_market_state_v1
2021-09-26,soft_landing_goldilocks,6.312456,0.130435,,0,N,6.312456,phase6_final_market_state_v1
2021-09-26,usd_strength_krw_weakness,33.428914,0.478261,,0,N,33.428914,phase6_final_market_state_v1
2021-09-27,acute_global_stress_liquidity_crunch,58.588993,0.916667,,0,N,58.588993,phase6_final_market_state_v1
2021-09-27,china_trade_fragmentation_shock,47.196297,0.916667,,0,N,47.196297,phase6_final_market_state_v1
2021-09-27,geopolitical_escalation_supply_shock,70.874145,0.95,,0,N,70.874145,phase6_final_market_state_v1
